0.0000	0.0223	0.9393	0.0435
0.0100	0.0673	0.8149	0.1243
0.0200	0.2423	0.7369	0.3647
0.0300	0.3033	0.7038	0.4239
0.0400	0.3558	0.6654	0.4637
0.0500	0.3789	0.6437	0.4770
0.0600	0.4049	0.6156	0.4885
0.0700	0.4192	0.5987	0.4931
0.0800	0.4376	0.5754	0.4971
0.0900	0.4484	0.5613	0.4986
0.1000	0.4630	0.5413	0.4991
0.1100	0.4756	0.5230	0.4982
0.1200	0.4835	0.5113	0.4971
0.1300	0.4945	0.4951	0.4948
0.1400	0.5013	0.4844	0.4927
0.1500	0.5110	0.4693	0.4893
0.1600	0.5169	0.4596	0.4866
0.1700	0.5256	0.4454	0.4821
0.1800	0.5307	0.4362	0.4788
0.1900	0.5383	0.4226	0.4735
0.2000	0.5455	0.4094	0.4678
0.2100	0.5502	0.4008	0.4638
0.2200	0.5572	0.3879	0.4574
0.2300	0.5617	0.3797	0.4531
0.2400	0.5683	0.3676	0.4465
0.2500	0.5726	0.3595	0.4417
0.2600	0.5784	0.3477	0.4343
0.2700	0.5823	0.3398	0.4291
0.2800	0.5879	0.3278	0.4209
0.2900	0.5917	0.3200	0.4154
0.3000	0.5975	0.3085	0.4069
0.3100	0.6027	0.2973	0.3982
0.3200	0.6060	0.2896	0.3919
0.3300	0.6107	0.2783	0.3824
0.3400	0.6138	0.2707	0.3757
0.3500	0.6184	0.2595	0.3656
0.3600	0.6214	0.2519	0.3585
0.3700	0.6254	0.2407	0.3477
0.3800	0.6283	0.2333	0.3403
0.3900	0.6327	0.2228	0.3295
0.4000	0.6362	0.2117	0.3177
0.4100	0.6390	0.2047	0.3100
0.4200	0.6419	0.1938	0.2977
0.4300	0.6442	0.1868	0.2896
0.4400	0.6472	0.1762	0.2770
0.4500	0.6495	0.1694	0.2687
0.4600	0.6520	0.1593	0.2560
0.4700	0.6535	0.1526	0.2475
0.4800	0.6558	0.1427	0.2345
0.4900	0.6567	0.1365	0.2260
0.5000	0.6581	0.1269	0.2128
0.5100	0.6588	0.1175	0.1995
0.5200	0.6593	0.1113	0.1905
0.5300	0.6594	0.1024	0.1773
0.5400	0.6593	0.0967	0.1687
0.5500	0.6594	0.0885	0.1561
0.5600	0.6592	0.0833	0.1480
0.5700	0.6587	0.0758	0.1359
0.5800	0.6575	0.0709	0.1281
0.5900	0.6546	0.0639	0.1165
0.6000	0.6531	0.0575	0.1057
0.6100	0.6517	0.0533	0.0985
0.6200	0.6483	0.0473	0.0882
0.6300	0.6461	0.0436	0.0816
0.6400	0.6430	0.0383	0.0724
0.6500	0.6401	0.0350	0.0663
0.6600	0.6377	0.0305	0.0582
0.6700	0.6363	0.0277	0.0531
0.6800	0.6325	0.0240	0.0462
0.6900	0.6310	0.0217	0.0420
0.7000	0.6300	0.0184	0.0357
0.7100	0.6287	0.0156	0.0304
0.7200	0.6282	0.0139	0.0271
0.7300	0.6262	0.0116	0.0228
0.7400	0.6277	0.0104	0.0204
0.7500	0.6303	0.0086	0.0170
0.7600	0.6332	0.0075	0.0148
0.7700	0.6416	0.0061	0.0122
0.7800	0.6455	0.0053	0.0105
0.7900	0.6611	0.0043	0.0085
0.8000	0.6694	0.0034	0.0068
0.8100	0.6640	0.0028	0.0055
0.8200	0.6732	0.0021	0.0041
0.8300	0.6722	0.0017	0.0034
0.8400	0.6702	0.0012	0.0025
0.8500	0.6661	0.0009	0.0018
0.8600	0.6573	0.0006	0.0013
0.8700	0.6254	0.0004	0.0009
0.8800	0.6214	0.0003	0.0006
0.8900	0.5890	0.0002	0.0005
0.9000	0.5474	0.0001	0.0003
0.9100	0.5217	0.0001	0.0001
0.9200	0.4688	0.0000	0.0001
0.9300	0.4118	0.0000	0.0000
0.9400	0.2000	0.0000	0.0000
0.9500	0.0000	0.0000	nan
0.9600	0.0000	0.0000	nan
0.9700	1.0000	0.0000	0.0000
0.9800	1.0000	0.0000	0.0000
0.9900	1.0000	0.0000	0.0000
