threshold:9 | accuracy:0.06639 | precision:0.04494 | recall:0.04101 | f1:0.04150 
threshold:1 | accuracy:0.07466 | precision:0.04438 | recall:0.05133 | f1:0.04584 
threshold:2 | accuracy:0.07467 | precision:0.04592 | recall:0.05013 | f1:0.04623 
threshold:3 | accuracy:0.07468 | precision:0.04674 | recall:0.04946 | f1:0.04639 
threshold:4 | accuracy:0.07468 | precision:0.04736 | recall:0.04894 | f1:0.04649 
threshold:5 | accuracy:0.07469 | precision:0.04785 | recall:0.04853 | f1:0.04656 
threshold:6 | accuracy:0.07469 | precision:0.04829 | recall:0.04815 | f1:0.04661 
threshold:7 | accuracy:0.07469 | precision:0.04869 | recall:0.04781 | f1:0.04665 
threshold:8 | accuracy:0.07469 | precision:0.04910 | recall:0.04746 | f1:0.04670 
threshold:9 | accuracy:0.07470 | precision:0.04953 | recall:0.04712 | f1:0.04674 
threshold:1 | accuracy:0.08299 | precision:0.04928 | recall:0.05549 | f1:0.05034 
threshold:2 | accuracy:0.08300 | precision:0.05091 | recall:0.05412 | f1:0.05066 
threshold:3 | accuracy:0.08300 | precision:0.05178 | recall:0.05335 | f1:0.05078 
threshold:4 | accuracy:0.08301 | precision:0.05244 | recall:0.05277 | f1:0.05086 
threshold:5 | accuracy:0.08301 | precision:0.05296 | recall:0.05232 | f1:0.05091 
threshold:6 | accuracy:0.08301 | precision:0.05343 | recall:0.05189 | f1:0.05094 
threshold:7 | accuracy:0.08302 | precision:0.05386 | recall:0.05151 | f1:0.05097 
threshold:8 | accuracy:0.08302 | precision:0.05430 | recall:0.05112 | f1:0.05099 
threshold:9 | accuracy:0.08302 | precision:0.05477 | recall:0.05074 | f1:0.05102 
threshold:1 | accuracy:0.09126 | precision:0.05406 | recall:0.06037 | f1:0.05517 
threshold:2 | accuracy:0.09127 | precision:0.05580 | recall:0.05880 | f1:0.05544 
threshold:3 | accuracy:0.09128 | precision:0.05673 | recall:0.05792 | f1:0.05554 
threshold:4 | accuracy:0.09128 | precision:0.05744 | recall:0.05726 | f1:0.05559 
threshold:5 | accuracy:0.09129 | precision:0.05799 | recall:0.05675 | f1:0.05562 
threshold:6 | accuracy:0.09129 | precision:0.05850 | recall:0.05627 | f1:0.05564 
threshold:7 | accuracy:0.09129 | precision:0.05895 | recall:0.05584 | f1:0.05565 
threshold:8 | accuracy:0.09130 | precision:0.05942 | recall:0.05541 | f1:0.05566 
threshold:9 | accuracy:0.09130 | precision:0.05992 | recall:0.05498 | f1:0.05568 
threshold:1 | accuracy:0.09955 | precision:0.05785 | recall:0.06655 | f1:0.05987 
threshold:2 | accuracy:0.09957 | precision:0.05972 | recall:0.06479 | f1:0.06018 
threshold:3 | accuracy:0.09958 | precision:0.06073 | recall:0.06381 | f1:0.06030 
threshold:4 | accuracy:0.09958 | precision:0.06149 | recall:0.06307 | f1:0.06037 
threshold:5 | accuracy:0.09959 | precision:0.06209 | recall:0.06249 | f1:0.06041 
threshold:6 | accuracy:0.09959 | precision:0.06263 | recall:0.06196 | f1:0.06043 
threshold:7 | accuracy:0.09959 | precision:0.06312 | recall:0.06148 | f1:0.06045 
threshold:8 | accuracy:0.09960 | precision:0.06364 | recall:0.06100 | f1:0.06046 
threshold:9 | accuracy:0.09960 | precision:0.06417 | recall:0.06053 | f1:0.06049 
threshold:1 | accuracy:0.10781 | precision:0.06053 | recall:0.07311 | f1:0.06368 
threshold:2 | accuracy:0.10784 | precision:0.06253 | recall:0.07121 | f1:0.06409 
threshold:3 | accuracy:0.10785 | precision:0.06361 | recall:0.07015 | f1:0.06426 
threshold:4 | accuracy:0.10785 | precision:0.06442 | recall:0.06936 | f1:0.06436 
threshold:5 | accuracy:0.10786 | precision:0.06506 | recall:0.06873 | f1:0.06444 
threshold:6 | accuracy:0.10786 | precision:0.06565 | recall:0.06816 | f1:0.06449 
threshold:7 | accuracy:0.10787 | precision:0.06618 | recall:0.06764 | f1:0.06453 
threshold:8 | accuracy:0.10787 | precision:0.06673 | recall:0.06713 | f1:0.06458 
threshold:9 | accuracy:0.10787 | precision:0.06732 | recall:0.06661 | f1:0.06464 
threshold:1 | accuracy:0.11609 | precision:0.06665 | recall:0.08056 | f1:0.07039 
threshold:2 | accuracy:0.11611 | precision:0.06888 | recall:0.07852 | f1:0.07089 
threshold:3 | accuracy:0.11612 | precision:0.07010 | recall:0.07738 | f1:0.07110 
threshold:4 | accuracy:0.11613 | precision:0.07101 | recall:0.07651 | f1:0.07123 
threshold:5 | accuracy:0.11614 | precision:0.07174 | recall:0.07583 | f1:0.07132 
threshold:6 | accuracy:0.11615 | precision:0.07240 | recall:0.07521 | f1:0.07139 
threshold:7 | accuracy:0.11615 | precision:0.07299 | recall:0.07464 | f1:0.07143 
threshold:8 | accuracy:0.11615 | precision:0.07360 | recall:0.07407 | f1:0.07148 
threshold:9 | accuracy:0.11616 | precision:0.07426 | recall:0.07348 | f1:0.07154 
threshold:1 | accuracy:0.12442 | precision:0.07200 | recall:0.08809 | f1:0.07665 
threshold:2 | accuracy:0.12444 | precision:0.07444 | recall:0.08589 | f1:0.07722 
threshold:3 | accuracy:0.12445 | precision:0.07575 | recall:0.08467 | f1:0.07746 
threshold:4 | accuracy:0.12446 | precision:0.07674 | recall:0.08375 | f1:0.07762 
threshold:5 | accuracy:0.12447 | precision:0.07752 | recall:0.08301 | f1:0.07772 
threshold:6 | accuracy:0.12448 | precision:0.07824 | recall:0.08234 | f1:0.07781 
threshold:7 | accuracy:0.12448 | precision:0.07888 | recall:0.08174 | f1:0.07787 
threshold:8 | accuracy:0.12448 | precision:0.07954 | recall:0.08113 | f1:0.07793 
threshold:9 | accuracy:0.12449 | precision:0.08026 | recall:0.08051 | f1:0.07802 
threshold:1 | accuracy:0.13269 | precision:0.07586 | recall:0.09369 | f1:0.08122 
threshold:2 | accuracy:0.13272 | precision:0.07844 | recall:0.09132 | f1:0.08184 
threshold:3 | accuracy:0.13274 | precision:0.07985 | recall:0.09001 | f1:0.08210 
threshold:4 | accuracy:0.13275 | precision:0.08090 | recall:0.08902 | f1:0.08227 
threshold:5 | accuracy:0.13275 | precision:0.08173 | recall:0.08823 | f1:0.08238 
threshold:6 | accuracy:0.13276 | precision:0.08250 | recall:0.08751 | f1:0.08248 
threshold:7 | accuracy:0.13277 | precision:0.08318 | recall:0.08686 | f1:0.08255 
threshold:8 | accuracy:0.13277 | precision:0.08390 | recall:0.08621 | f1:0.08262 
threshold:9 | accuracy:0.13278 | precision:0.08467 | recall:0.08555 | f1:0.08272 
threshold:1 | accuracy:0.14100 | precision:0.07928 | recall:0.09963 | f1:0.08556 
threshold:2 | accuracy:0.14103 | precision:0.08200 | recall:0.09707 | f1:0.08623 
threshold:3 | accuracy:0.14105 | precision:0.08347 | recall:0.09564 | f1:0.08651 
threshold:4 | accuracy:0.14106 | precision:0.08458 | recall:0.09457 | f1:0.08669 
threshold:5 | accuracy:0.14106 | precision:0.08546 | recall:0.09372 | f1:0.08682 
threshold:6 | accuracy:0.14107 | precision:0.08627 | recall:0.09294 | f1:0.08693 
threshold:7 | accuracy:0.14108 | precision:0.08698 | recall:0.09225 | f1:0.08701 
threshold:8 | accuracy:0.14108 | precision:0.08774 | recall:0.09155 | f1:0.08709 
threshold:9 | accuracy:0.14109 | precision:0.08855 | recall:0.09084 | f1:0.08720 
threshold:1 | accuracy:0.14927 | precision:0.08232 | recall:0.10385 | f1:0.08909 
threshold:2 | accuracy:0.14930 | precision:0.08514 | recall:0.10111 | f1:0.08976 
threshold:3 | accuracy:0.14932 | precision:0.08667 | recall:0.09960 | f1:0.09005 
threshold:4 | accuracy:0.14933 | precision:0.08783 | recall:0.09846 | f1:0.09024 
